Time,Signal
48898.63,326
48901.48,326
48904.33,325
48907.17,333
48910.01,339
48912.85,342
48915.7,332
48918.54,328
48921.38,329
48924.23,337
48927.08,343
48929.92,341
48932.76,335
48935.61,330
48938.46,338
48941.3,344
48944.14,348
48946.98,346
48949.83,340
48952.68,338
48955.53,346
48958.37,354
48961.21,356
48964.06,355
48966.9,347
48969.74,349
48972.58,351
48975.43,359
48978.28,362
48981.13,361
48983.97,351
48986.82,347
48989.66,351
48992.51,355
48995.35,352
48998.19,343
49001.04,336
49003.88,329
49006.72,334
49009.56,337
49012.41,334
49015.26,327
49018.1,316
49020.94,314
49023.78,318
49026.63,322
49029.48,318
49032.33,311
49035.17,304
49038.01,302
49040.85,308
49043.7,310
49046.54,310
49049.38,303
49052.23,298
49055.08,301
49057.92,309
49060.76,315
49063.61,307
49066.46,304
49069.3,298
49072.14,301
49074.98,309
49077.83,314
49080.68,310
49083.53,304
49086.37,305
49089.21,311
49092.06,314
49094.9,320
49097.74,313
49100.58,308
49103.43,305
49106.28,310
49109.13,317
49111.97,318
49114.82,317
49117.66,309
49120.51,311
49123.35,314
49126.19,323
49129.04,320
49131.88,315
49134.73,308
49137.57,310
49140.41,316
49143.26,325
49146.11,319
49148.96,316
49151.8,311
49154.65,311
49157.5,317
49160.33,322
49163.17,318
49166.02,316
49168.86,308
49171.7,312
49174.54,318
49177.38,322
49180.23,322
49183.08,312
49185.92,308
49188.76,313
49191.61,323
49194.46,326
49197.3,320
49200.14,318
49202.98,310
49205.82,319
49208.67,323
49211.52,323
49214.36,320
49217.21,311
49220.05,312
49222.89,320
49225.73,322
49228.57,322
49231.42,317
49234.27,310
49237.12,308
49239.96,315
49242.81,321
49245.66,322
49248.5,313
49251.34,309
49254.18,312
49257.03,320
49259.87,322
49262.72,324
49265.56,315
49268.41,312
49271.26,312
49274.1,318
49276.94,322
49279.78,320
49282.63,315
49285.48,312
49288.32,314
49291.16,323
49294.01,327
49296.85,322
49299.69,316
49302.53,313
49305.37,317
49308.22,323
49311.07,324
49313.91,319
49316.75,311
49319.6,308
49322.45,313
49325.3,319
49328.14,322
49330.98,316
49333.82,314
49336.67,310
49339.52,316
49342.36,321
49345.21,321
49348.05,320
49350.89,319
49353.73,321
49356.57,333
49359.42,341
49362.27,343
49365.12,332
49367.96,325
49370.81,326
49373.66,330
49376.5,337
49379.34,342
49382.18,337
49385.03,337
49387.87,340
49390.72,348
49393.56,352
49396.41,344
49399.26,335
49402.1,328
49404.94,327
49407.78,337
49410.63,335
49413.48,327
49416.32,317
49419.16,307
49422.01,310
49424.85,321
49427.69,324
49430.53,315
49433.37,312
49436.22,308
49439.07,309
49441.91,318
49444.75,318
49447.6,313
49450.45,305
49453.3,306
49456.14,314
49458.98,320
49461.82,321
49464.66,313
49467.51,306
49470.35,304
49473.2,312
49476.05,321
49478.89,319
49481.73,315
49484.57,310
49487.42,309
49490.27,307
49493.12,303
49495.96,291
49498.81,273
49501.66,264
49504.5,277
49507.34,299
49510.18,335
49513.03,383
49515.87,455
49518.72,553
49521.56,647
49524.41,650
49527.26,650
49530.1,644
49532.94,571
49535.78,444
49538.63,329
49541.48,254
49544.33,221
49547.17,218
49550.01,223
49552.85,247
49555.7,274
49558.54,304
49561.38,318
49564.23,321
49567.08,311
49569.92,309
49572.76,311
49575.61,315
49578.46,314
49581.3,308
49584.14,302
49586.98,303
49589.83,308
49592.68,315
49595.53,318
49598.37,309
49601.21,304
49604.06,304
49606.9,313
49609.74,319
49612.58,317
49615.43,313
49618.28,305
49621.13,310
49623.97,317
49626.82,323
49629.66,322
49632.51,312
49635.35,309
49638.19,312
49641.04,320
49643.88,324
49646.72,317
49649.56,310
49652.41,309
49655.26,315
49658.1,320
49660.94,324
49663.78,318
49666.63,307
49669.48,302
49672.33,306
49675.17,312
49678.01,319
49680.85,311
49683.7,303
49686.54,299
49689.38,300
49692.23,309
49695.08,306
49697.92,299
49700.76,294
49703.61,298
49706.46,301
49709.3,308
49712.14,306
49714.98,298
49717.82,292
49720.67,293
49723.52,300
49726.36,311
49729.21,305
49732.05,300
49734.89,294
49737.73,297
49740.57,302
49743.42,308
49746.27,306
49749.12,297
49751.96,295
49754.81,296
49757.66,303
49760.5,308
49763.34,305
49766.18,290
49769.03,284
49771.87,283
49774.72,285
49777.56,278
49780.41,268
49783.26,254
49786.1,247
49788.94,245
49791.78,250
49794.63,253
49797.48,242
49800.32,236
49803.16,235
49806.01,239
49808.85,244
49811.69,245
49814.53,240
49817.37,234
49820.22,230
49823.07,238
49825.91,244
49828.75,245
49831.6,239
49834.45,239
49837.3,238
49840.14,248
49842.98,251
49845.82,256
49848.66,249
49851.51,247
49854.35,250
49857.2,257
49860.05,262
49862.89,260
49865.73,254
49868.57,246
49871.42,250
49874.27,260
49877.12,265
49879.96,264
49882.81,256
49885.66,253
49888.5,258
49891.34,267
49894.18,272
49897.03,269
49899.87,263
49902.72,267
49905.56,271
49908.41,276
49911.26,283
49914.1,277
49916.94,269
49919.78,268
49922.63,275
49925.48,282
49928.32,288
49931.16,285
49934.01,279
49936.85,279
49939.69,287
49942.53,294
49945.37,296
49948.22,290
49951.07,287
49953.91,292
49956.75,296
49959.6,307
49962.45,306
49965.3,301
49968.14,295
49970.98,298
49973.82,308
49976.66,310
49979.51,311
49982.35,304
49985.2,298
49988.05,300
49990.89,306
49993.73,315
49996.57,308
49999.42,302
50002.27,297
50005.12,303
50007.96,310
50010.81,312
50013.66,308
50016.5,302
50019.34,300
50022.18,308
50025.03,314
50027.87,317
50030.72,310
50033.56,302
50036.41,301
50039.26,308
50042.1,315
50044.94,318
50047.78,312
50050.63,304
50053.48,304
50056.33,308
50059.17,316
50062.01,316
50064.85,312
50067.7,305
50070.54,311
50073.38,314
50076.23,321
50079.08,322
50081.92,317
50084.76,309
50087.61,314
50090.46,318
50093.3,325
50096.14,323
50098.98,315
50101.83,310
50104.68,309
50107.53,314
50110.37,323
50113.21,315
50116.06,310
50118.9,307
50121.74,311
50124.58,317
50127.43,323
50130.28,318
50133.13,307
50135.97,306
50138.82,311
50141.66,321
50144.51,328
50147.35,328
50150.19,325
50153.04,327
50155.88,336
50158.72,344
50161.56,344
50164.41,339
50167.26,332
